"label
0-平;1-升CPU;2-升内存;3-升CPU内存;-1-降CPU;-2-降内存;-3-降CPU内存",机器名,业务IP,归属系统,归属微服务,系统级别,进程,规格,机房,网络区域,芯片架构,最高CPU利用率,最高内存利用率,CPU利用率(>20%)时间占比,CPU利用率(>30%)时间占比,创建/变更时间
-1,bja-msg-Kafka-kzx-0003,10.2.4.158,MSG,Kafka,B,Kafka,16C32G,bja,SCYW,x86,60%,100%,78%,10%,2020-10-07
3,bjb-msg-Kafka-kzx-0001,10.2.5.163,MSG,Kafka,B,Kafka,16C32G,bjb,SCYW,x86,26%,19%,13%,0%,2020-07-28
1,bjb-msg-Kafka-kzx-0002,10.2.5.25,MSG,Kafka,B,Kafka,16C32G,bjb,SCYW,x86,91%,47%,19%,4%,2020-12-14
0,bjb-msg-Kafka-kzx-0003,10.2.5.59,MSG,Kafka,B,Kafka,16C32G,bjb,SCYW,x86,86%,96%,18%,9%,2020-10-13
2,hfa-msg-Kafka-kzx-0001,10.2.3.184,MSG,Kafka,B,Kafka,4C8G,hfa,SCYW,ARM,55%,47%,53%,14%,2020-08-03
3,hfa-msg-Kafka-kzx-0002,10.2.3.11,MSG,Kafka,B,Kafka,4C8G,hfa,SCYW,ARM,18%,41%,0%,0%,2020-07-20
-2,hfa-msg-Kafka-kzx-0003,10.2.3.89,MSG,Kafka,B,Kafka,4C8G,hfa,SCYW,ARM,12%,21%,0%,0%,2020-10-24
-3,bja-msg-MGR-kzx-0001,10.6.4.163,MSG,MGR,B,MGR,2C8G,bja,WEB,C86,52%,85%,68%,55%,2020-04-27
-2,bja-msg-MGR-kzx-0002,10.6.4.39,MSG,MGR,B,MGR,2C8G,bja,WEB,C86,42%,21%,47%,33%,2020-12-08
-3,bja-msg-MGR-kzx-0003,10.6.4.23,MSG,MGR,B,MGR,2C8G,bja,WEB,C86,54%,77%,22%,14%,2020-11-08
0,bja-msg-MGR-kzx-0004,10.6.4.113,MSG,MGR,B,MGR,2C8G,bja,WEB,C86,70%,70%,53%,14%,2020-09-09
-2,bjb-msg-MGR-kzx-0001,10.6.5.9,MSG,MGR,B,MGR,2C8G,bjb,WEB,C86,16%,20%,0%,0%,2020-05-04
0,bjb-msg-MGR-kzx-0002,10.6.5.78,MSG,MGR,B,MGR,2C8G,bjb,WEB,C86,29%,32%,10%,0%,2020-07-07
-1,bjb-msg-MGR-kzx-0003,10.6.5.172,MSG,MGR,B,MGR,2C8G,bjb,WEB,C86,96%,36%,86%,44%,2020-12-20
-1,bjb-msg-MGR-kzx-0004,10.6.5.38,MSG,MGR,B,MGR,2C8G,bjb,WEB,C86,64%,10%,16%,8%,2020-11-20
-2,hfa-msg-MGR-kzx-0001,10.6.3.38,MSG,MGR,B,MGR,2C4G,hfa,WEB,x86,28%,31%,8%,0%,2020-04-06
3,hfa-msg-MGR-kzx-0002,10.6.3.178,MSG,MGR,B,MGR,2C4G,hfa,WEB,x86,22%,11%,62%,0%,2020-10-24
-3,hfa-msg-MGR-kzx-0003,10.6.3.83,MSG,MGR,B,MGR,2C4G,hfa,WEB,x86,36%,38%,2%,1%,2020-06-12
3,hfa-msg-MGR-kzx-0004,10.6.3.238,MSG,MGR,B,MGR,2C4G,hfa,WEB,x86,10%,20%,0%,0%,2020-06-10
1,bja-msg-Nginx-kzx-0001,10.1.4.152,MSG,Nginx,B,Nginx,8C32G,bja,AG,ARM,59%,100%,73%,64%,2020-06-16
1,bja-msg-Nginx-kzx-0002,10.1.4.208,MSG,Nginx,B,Nginx,8C32G,bja,AG,ARM,46%,78%,21%,1%,2020-08-14
-3,bja-msg-Nginx-kzx-0003,10.1.4.71,MSG,Nginx,B,Nginx,8C32G,bja,AG,ARM,12%,59%,0%,0%,2020-07-12
-2,bjb-msg-Nginx-kzx-0001,10.1.5.2,MSG,Nginx,B,Nginx,8C32G,bjb,AG,ARM,19%,14%,0%,0%,2020-05-03
0,bjb-msg-Nginx-kzx-0002,10.1.5.206,MSG,Nginx,B,Nginx,8C32G,bjb,AG,ARM,63%,14%,48%,34%,2020-09-13
-3,bjb-msg-Nginx-kzx-0003,10.1.5.17,MSG,Nginx,B,Nginx,8C32G,bjb,AG,ARM,31%,14%,21%,7%,2020-05-07
1,hfa-msg-Nginx-kzx-0001,10.1.3.241,MSG,Nginx,B,Nginx,8C32G,hfa,AG,x86,76%,59%,72%,6%,2020-05-27
0,hfa-msg-Nginx-kzx-0002,10.1.3.122,MSG,Nginx,B,Nginx,8C32G,hfa,AG,x86,21%,19%,50%,0%,2020-08-01
3,bja-msg-gateway-kzx-0001,10.1.4.59,MSG,gateway,B,gateway,8C32G,bja,AG,ARM,95%,84%,41%,15%,2020-10-05
0,bja-msg-gateway-kzx-0002,10.1.4.251,MSG,gateway,B,gateway,8C32G,bja,AG,ARM,16%,68%,0%,0%,2020-08-18
1,bjb-msg-gateway-kzx-0001,10.1.5.249,MSG,gateway,B,gateway,8C32G,bjb,AG,x86,11%,15%,0%,0%,2020-08-09
3,bjb-msg-gateway-kzx-0002,10.1.5.209,MSG,gateway,B,gateway,8C32G,bjb,AG,x86,87%,16%,35%,5%,2020-07-16
0,hfa-msg-gateway-kzx-0001,10.1.3.182,MSG,gateway,B,gateway,4C8G,hfa,AG,C86,14%,35%,0%,0%,2020-03-05
-1,hfa-msg-gateway-kzx-0002,10.1.3.113,MSG,gateway,B,gateway,4C8G,hfa,AG,C86,36%,29%,73%,27%,2020-04-23
0,bja-msg-msg-kzx-0001,10.6.4.46,MSG,msg,B,msg,2C4G,bja,WEB,x86,60%,33%,80%,32%,2020-09-11
3,bja-msg-msg-kzx-0002,10.6.4.52,MSG,msg,B,msg,2C4G,bja,WEB,x86,64%,50%,3%,1%,2020-12-25
1,bjb-msg-msg-kzx-0001,10.6.5.30,MSG,msg,B,msg,2C4G,bjb,WEB,x86,28%,25%,3%,0%,2020-06-15
-3,bjb-msg-msg-kzx-0002,10.6.5.125,MSG,msg,B,msg,2C4G,bjb,WEB,x86,28%,35%,49%,0%,2020-01-01
-1,hfa-msg-msg-kzx-0001,10.6.3.251,MSG,msg,B,msg,2C4G,hfa,WEB,ARM,24%,20%,59%,0%,2020-10-16
0,hfa-msg-msg-kzx-0002,10.6.3.33,MSG,msg,B,msg,2C4G,hfa,WEB,ARM,86%,27%,5%,2%,2020-06-26
2,bja-msg-web-kzx-0001,10.1.4.145,MSG,web,B,web,4C8G,bja,AG,ARM,100%,97%,61%,35%,2020-08-08
0,bja-msg-web-kzx-0002,10.1.4.71,MSG,web,B,web,4C8G,bja,AG,ARM,53%,86%,82%,15%,2020-07-27
3,bjb-msg-web-kzx-0001,10.1.5.198,MSG,web,B,web,4C8G,bjb,AG,ARM,77%,87%,68%,16%,2020-06-24
3,bjb-msg-web-kzx-0002,10.1.5.250,MSG,web,B,web,4C8G,bjb,AG,ARM,17%,93%,0%,0%,2020-11-28
3,hfa-msg-web-kzx-0001,10.1.3.29,MSG,web,B,web,4C8G,hfa,AG,C86,32%,44%,20%,10%,2020-05-06
1,hfa-msg-web-kzx-0002,10.1.3.14,MSG,web,B,web,4C8G,hfa,AG,C86,10%,47%,0%,0%,2020-01-28
3,sza-nato-ES-kzx-0001,10.7.1.251,NATO,ES,C,ES,2C8G,sza,HXYW,C86,37%,84%,54%,49%,2020-12-18
3,sza-nato-ES-kzx-0002,10.7.1.37,NATO,ES,C,ES,2C8G,sza,HXYW,C86,81%,73%,35%,27%,2020-10-11
1,sza-nato-ES-kzx-0003,10.7.1.189,NATO,ES,C,ES,2C8G,sza,HXYW,C86,97%,49%,55%,24%,2020-03-01
0,szb-nato-ES-kzx-0001,10.7.2.243,NATO,ES,C,ES,2C8G,szb,HXYW,C86,14%,29%,0%,0%,2020-05-08
0,szb-nato-ES-kzx-0002,10.7.2.37,NATO,ES,C,ES,2C8G,szb,HXYW,C86,76%,15%,5%,2%,2020-09-02
2,szb-nato-ES-kzx-0003,10.7.2.187,NATO,ES,C,ES,2C8G,szb,HXYW,C86,28%,35%,17%,0%,2020-04-15
1,sza-nato-MGR-kzx-0001,10.8.1.38,NATO,MGR,C,MGR,16C64G,sza,OA,ARM,86%,83%,64%,4%,2020-06-23
1,sza-nato-MGR-kzx-0002,10.8.1.224,NATO,MGR,C,MGR,16C64G,sza,OA,ARM,57%,91%,38%,22%,2020-01-03
-1,szb-nato-MGR-kzx-0001,10.8.2.114,NATO,MGR,C,MGR,16C64G,szb,OA,ARM,12%,35%,0%,0%,2020-02-27
1,szb-nato-MGR-kzx-0002,10.8.2.131,NATO,MGR,C,MGR,16C64G,szb,OA,ARM,46%,13%,31%,12%,2020-05-22
0,sza-nato-Nginx-kzx-0001,10.8.1.17,NATO,Nginx,C,Nginx,4C8G,sza,OA,x86,98%,73%,51%,11%,2020-02-05
-1,sza-nato-Nginx-kzx-0002,10.8.1.144,NATO,Nginx,C,Nginx,4C8G,sza,OA,x86,69%,45%,32%,11%,2020-05-04
3,szb-nato-Nginx-kzx-0001,10.8.2.233,NATO,Nginx,C,Nginx,4C8G,szb,OA,C86,47%,63%,24%,2%,2020-02-05
0,szb-nato-Nginx-kzx-0002,10.8.2.37,NATO,Nginx,C,Nginx,4C8G,szb,OA,C86,19%,22%,0%,0%,2020-06-14
1,sza-nato-app-kzx-0001,10.8.1.37,NATO,app,C,app,4C16G,sza,OA,ARM,25%,86%,84%,0%,2020-02-13
3,sza-nato-app-kzx-0002,10.8.1.40,NATO,app,C,app,4C16G,sza,OA,ARM,36%,56%,77%,20%,2020-09-04
3,sza-nato-app-kzx-0003,10.8.1.101,NATO,app,C,app,4C16G,sza,OA,ARM,75%,78%,93%,17%,2020-01-13
-2,sza-nato-app-kzx-0004,10.8.1.147,NATO,app,C,app,4C16G,sza,OA,ARM,72%,54%,1%,0%,2020-01-20
1,sza-nato-app-kzx-0005,10.8.1.31,NATO,app,C,app,4C16G,sza,OA,ARM,52%,51%,14%,7%,2020-11-03
2,szb-nato-app-kzx-0001,10.8.2.253,NATO,app,C,app,4C16G,szb,OA,C86,63%,64%,24%,12%,2020-06-16
2,szb-nato-app-kzx-0002,10.8.2.123,NATO,app,C,app,4C16G,szb,OA,C86,55%,40%,66%,57%,2020-11-23
0,szb-nato-app-kzx-0003,10.8.2.119,NATO,app,C,app,4C16G,szb,OA,C86,26%,87%,8%,0%,2020-07-26
3,szb-nato-app-kzx-0004,10.8.2.187,NATO,app,C,app,4C16G,szb,OA,C86,78%,13%,3%,1%,2020-12-13
-2,szb-nato-app-kzx-0005,10.8.2.221,NATO,app,C,app,4C16G,szb,OA,C86,25%,10%,5%,0%,2020-04-22
1,sza-nato-web-kzx-0001,10.2.1.32,NATO,web,C,web,2C4G,sza,SCYW,x86,34%,76%,87%,72%,2020-02-17
1,sza-nato-web-kzx-0002,10.2.1.157,NATO,web,C,web,2C4G,sza,SCYW,x86,47%,41%,27%,18%,2020-03-27
2,sza-nato-web-kzx-0003,10.2.1.63,NATO,web,C,web,2C4G,sza,SCYW,x86,45%,25%,50%,38%,2020-05-17
1,sza-nato-web-kzx-0004,10.2.1.143,NATO,web,C,web,2C4G,sza,SCYW,x86,58%,42%,25%,15%,2020-01-16
3,sza-nato-web-kzx-0005,10.2.1.88,NATO,web,C,web,2C4G,sza,SCYW,x86,60%,52%,36%,5%,2020-09-24
3,sza-nato-web-kzx-0006,10.2.1.112,NATO,web,C,web,2C4G,sza,SCYW,x86,65%,30%,34%,7%,2020-03-20
1,szb-nato-web-kzx-0001,10.2.2.61,NATO,web,C,web,2C4G,szb,SCYW,x86,25%,46%,1%,0%,2020-11-03
1,szb-nato-web-kzx-0002,10.2.2.224,NATO,web,C,web,2C4G,szb,SCYW,x86,27%,99%,67%,0%,2020-07-01
2,szb-nato-web-kzx-0003,10.2.2.4,NATO,web,C,web,2C4G,szb,SCYW,x86,10%,36%,0%,0%,2020-08-17
-3,szb-nato-web-kzx-0004,10.2.2.101,NATO,web,C,web,2C4G,szb,SCYW,x86,58%,13%,20%,6%,2020-01-17
0,szb-nato-web-kzx-0005,10.2.2.109,NATO,web,C,web,2C4G,szb,SCYW,x86,18%,76%,0%,0%,2020-04-21
-3,szb-nato-web-kzx-0006,10.2.2.136,NATO,web,C,web,2C4G,szb,SCYW,x86,72%,23%,3%,1%,2020-07-15
0,hfa-oa-Kafka-kzx-0001,10.2.3.103,OA,Kafka,B,Kafka,2C4G,hfa,SCYW,C86,44%,44%,7%,3%,2020-02-06
-3,hfa-oa-Kafka-kzx-0002,10.2.3.193,OA,Kafka,B,Kafka,2C4G,hfa,SCYW,C86,11%,60%,0%,0%,2020-09-12
-3,hfa-oa-Kafka-kzx-0003,10.2.3.208,OA,Kafka,B,Kafka,2C4G,hfa,SCYW,C86,51%,10%,13%,10%,2020-09-07
0,hfa-oa-Kafka-kzx-0004,10.2.3.51,OA,Kafka,B,Kafka,2C4G,hfa,SCYW,C86,44%,75%,23%,5%,2020-06-10
-1,hfa-oa-Kafka-kzx-0005,10.2.3.213,OA,Kafka,B,Kafka,2C4G,hfa,SCYW,C86,50%,11%,13%,5%,2020-02-10
-2,hfa-oa-Kafka-kzx-0006,10.2.3.77,OA,Kafka,B,Kafka,2C4G,hfa,SCYW,C86,88%,29%,32%,22%,2020-03-01
1,sza-oa-Kafka-kzx-0001,10.2.1.110,OA,Kafka,B,Kafka,2C4G,sza,SCYW,ARM,87%,95%,17%,1%,2020-04-12
2,sza-oa-Kafka-kzx-0002,10.2.1.188,OA,Kafka,B,Kafka,2C4G,sza,SCYW,ARM,43%,98%,32%,16%,2020-10-15
3,sza-oa-Kafka-kzx-0003,10.2.1.122,OA,Kafka,B,Kafka,2C4G,sza,SCYW,ARM,29%,57%,23%,0%,2020-05-13
0,sza-oa-Kafka-kzx-0004,10.2.1.60,OA,Kafka,B,Kafka,2C4G,sza,SCYW,ARM,51%,61%,91%,28%,2020-01-03
3,sza-oa-Kafka-kzx-0005,10.2.1.14,OA,Kafka,B,Kafka,2C4G,sza,SCYW,ARM,57%,42%,74%,31%,2020-01-23
3,sza-oa-Kafka-kzx-0006,10.2.1.38,OA,Kafka,B,Kafka,2C4G,sza,SCYW,ARM,61%,46%,43%,24%,2020-05-13
2,szb-oa-Kafka-kzx-0001,10.2.2.215,OA,Kafka,B,Kafka,2C4G,szb,SCYW,x86,18%,31%,0%,0%,2020-02-03
-3,szb-oa-Kafka-kzx-0002,10.2.2.221,OA,Kafka,B,Kafka,2C4G,szb,SCYW,x86,100%,24%,11%,4%,2020-08-19
3,szb-oa-Kafka-kzx-0003,10.2.2.104,OA,Kafka,B,Kafka,2C4G,szb,SCYW,x86,53%,25%,21%,17%,2020-08-28
1,szb-oa-Kafka-kzx-0004,10.2.2.88,OA,Kafka,B,Kafka,2C4G,szb,SCYW,x86,70%,68%,21%,7%,2020-04-15
1,szb-oa-Kafka-kzx-0005,10.2.2.247,OA,Kafka,B,Kafka,2C4G,szb,SCYW,x86,26%,15%,18%,0%,2020-12-15
1,szb-oa-Kafka-kzx-0006,10.2.2.193,OA,Kafka,B,Kafka,2C4G,szb,SCYW,x86,37%,60%,19%,4%,2020-02-21
2,hfa-oa-MGR-kzx-0001,10.2.3.31,OA,MGR,B,MGR,8C16G,hfa,SCYW,ARM,48%,27%,2%,1%,2020-10-10
0,hfa-oa-MGR-kzx-0002,10.2.3.136,OA,MGR,B,MGR,8C16G,hfa,SCYW,ARM,24%,17%,50%,0%,2020-07-18
3,sza-oa-MGR-kzx-0001,10.2.1.162,OA,MGR,B,MGR,32C64G,sza,SCYW,x86,68%,98%,53%,46%,2020-08-05
2,sza-oa-MGR-kzx-0002,10.2.1.82,OA,MGR,B,MGR,32C64G,sza,SCYW,x86,43%,66%,13%,2%,2020-04-24
0,szb-oa-MGR-kzx-0001,10.2.2.200,OA,MGR,B,MGR,32C64G,szb,SCYW,x86,44%,15%,14%,8%,2020-07-17
-1,szb-oa-MGR-kzx-0002,10.2.2.125,OA,MGR,B,MGR,32C64G,szb,SCYW,x86,95%,35%,18%,9%,2020-02-02
2,hfa-oa-Nginx-kzx-0001,10.3.3.94,OA,Nginx,B,Nginx,2C4G,hfa,KFCS,C86,72%,100%,61%,14%,2020-04-11
1,hfa-oa-Nginx-kzx-0002,10.3.3.154,OA,Nginx,B,Nginx,2C4G,hfa,KFCS,C86,55%,96%,28%,18%,2020-12-06
2,hfa-oa-Nginx-kzx-0003,10.3.3.190,OA,Nginx,B,Nginx,2C4G,hfa,KFCS,C86,11%,41%,0%,0%,2020-08-19
-1,hfa-oa-Nginx-kzx-0004,10.3.3.141,OA,Nginx,B,Nginx,2C4G,hfa,KFCS,C86,23%,51%,19%,0%,2020-08-06
-1,sza-oa-Nginx-kzx-0001,10.3.1.75,OA,Nginx,B,Nginx,2C4G,sza,KFCS,x86,72%,93%,79%,52%,2020-07-10
-2,sza-oa-Nginx-kzx-0002,10.3.1.169,OA,Nginx,B,Nginx,2C4G,sza,KFCS,x86,76%,88%,20%,10%,2020-10-18
-3,sza-oa-Nginx-kzx-0003,10.3.1.167,OA,Nginx,B,Nginx,2C4G,sza,KFCS,x86,100%,74%,28%,8%,2020-06-24
2,sza-oa-Nginx-kzx-0004,10.3.1.241,OA,Nginx,B,Nginx,2C4G,sza,KFCS,x86,60%,89%,63%,26%,2020-11-11
3,szb-oa-Nginx-kzx-0001,10.3.2.192,OA,Nginx,B,Nginx,2C4G,szb,KFCS,ARM,38%,29%,17%,3%,2020-03-19
0,szb-oa-Nginx-kzx-0002,10.3.2.145,OA,Nginx,B,Nginx,2C4G,szb,KFCS,ARM,24%,47%,14%,0%,2020-09-02
-3,szb-oa-Nginx-kzx-0003,10.3.2.148,OA,Nginx,B,Nginx,2C4G,szb,KFCS,ARM,67%,42%,1%,0%,2020-10-06
-2,szb-oa-Nginx-kzx-0004,10.3.2.149,OA,Nginx,B,Nginx,2C4G,szb,KFCS,ARM,15%,16%,0%,0%,2020-07-23
2,hfa-oa-gateway-kzx-0001,10.1.3.51,OA,gateway,B,gateway,8C16G,hfa,AG,ARM,64%,24%,5%,2%,2020-09-12
0,hfa-oa-gateway-kzx-0002,10.1.3.253,OA,gateway,B,gateway,8C16G,hfa,AG,ARM,42%,30%,4%,2%,2020-10-16
1,sza-oa-gateway-kzx-0001,10.1.1.234,OA,gateway,B,gateway,8C32G,sza,AG,ARM,98%,83%,64%,43%,2020-09-22
-2,sza-oa-gateway-kzx-0002,10.1.1.103,OA,gateway,B,gateway,8C32G,sza,AG,ARM,78%,77%,52%,47%,2020-05-25
-1,szb-oa-gateway-kzx-0001,10.1.2.193,OA,gateway,B,gateway,8C32G,szb,AG,x86,20%,27%,68%,0%,2020-09-16
1,szb-oa-gateway-kzx-0002,10.1.2.5,OA,gateway,B,gateway,8C32G,szb,AG,x86,24%,33%,12%,0%,2020-11-17
-3,hfa-oa-msg-kzx-0001,10.7.3.152,OA,msg,B,msg,2C8G,hfa,HXYW,ARM,14%,28%,0%,0%,2020-12-03
-1,hfa-oa-msg-kzx-0002,10.7.3.118,OA,msg,B,msg,2C8G,hfa,HXYW,ARM,15%,24%,0%,0%,2020-05-01
3,sza-oa-msg-kzx-0001,10.7.1.78,OA,msg,B,msg,16C32G,sza,HXYW,ARM,87%,100%,79%,43%,2020-06-06
1,sza-oa-msg-kzx-0002,10.7.1.123,OA,msg,B,msg,16C32G,sza,HXYW,ARM,48%,37%,28%,16%,2020-03-24
0,szb-oa-msg-kzx-0001,10.7.2.125,OA,msg,B,msg,16C32G,szb,HXYW,ARM,22%,16%,9%,0%,2020-08-12
3,szb-oa-msg-kzx-0002,10.7.2.252,OA,msg,B,msg,16C32G,szb,HXYW,ARM,15%,67%,0%,0%,2020-03-27
2,hfa-oa-web-kzx-0001,10.3.3.132,OA,web,B,web,2C4G,hfa,KFCS,C86,24%,14%,32%,0%,2020-07-07
-1,hfa-oa-web-kzx-0002,10.3.3.21,OA,web,B,web,2C4G,hfa,KFCS,C86,21%,17%,51%,0%,2020-04-18
-3,sza-oa-web-kzx-0001,10.3.1.125,OA,web,B,web,2C4G,sza,KFCS,C86,81%,77%,67%,19%,2020-05-20
1,sza-oa-web-kzx-0002,10.3.1.40,OA,web,B,web,2C4G,sza,KFCS,C86,52%,59%,44%,28%,2020-01-20
3,szb-oa-web-kzx-0001,10.3.2.181,OA,web,B,web,2C4G,szb,KFCS,ARM,16%,18%,0%,0%,2020-07-05
-1,szb-oa-web-kzx-0002,10.3.2.225,OA,web,B,web,2C4G,szb,KFCS,ARM,90%,45%,46%,7%,2020-09-07
-3,bja-pay-MGR-kzx-0001,10.2.4.209,PAY,MGR,A,MGR,32C64G,bja,SCYW,x86,65%,45%,49%,31%,2020-07-08
2,bja-pay-MGR-kzx-0002,10.2.4.232,PAY,MGR,A,MGR,32C64G,bja,SCYW,x86,82%,73%,43%,30%,2020-06-10
-2,bjb-pay-MGR-kzx-0001,10.2.5.142,PAY,MGR,A,MGR,32C64G,bjb,SCYW,C86,18%,41%,0%,0%,2020-11-22
-2,bjb-pay-MGR-kzx-0002,10.2.5.7,PAY,MGR,A,MGR,32C64G,bjb,SCYW,C86,21%,14%,15%,0%,2020-10-28
-3,hfa-pay-MGR-kzx-0001,10.2.3.179,PAY,MGR,A,MGR,4C8G,hfa,SCYW,x86,29%,39%,65%,0%,2020-03-24
1,hfa-pay-MGR-kzx-0002,10.2.3.134,PAY,MGR,A,MGR,4C8G,hfa,SCYW,x86,33%,92%,10%,5%,2020-09-21
-3,bja-pay-Nginx-kzx-0001,10.6.4.160,PAY,Nginx,A,Nginx,16C32G,bja,WEB,x86,97%,85%,6%,3%,2020-04-17
-1,bja-pay-Nginx-kzx-0002,10.6.4.201,PAY,Nginx,A,Nginx,16C32G,bja,WEB,x86,62%,64%,33%,8%,2020-04-05
-2,bjb-pay-Nginx-kzx-0001,10.6.5.159,PAY,Nginx,A,Nginx,16C32G,bjb,WEB,ARM,56%,62%,2%,1%,2020-07-07
-1,bjb-pay-Nginx-kzx-0002,10.6.5.78,PAY,Nginx,A,Nginx,16C32G,bjb,WEB,ARM,77%,78%,5%,2%,2020-01-20
-2,hfa-pay-Nginx-kzx-0001,10.6.3.73,PAY,Nginx,A,Nginx,8C32G,hfa,WEB,x86,22%,34%,12%,0%,2020-12-21
-2,hfa-pay-Nginx-kzx-0002,10.6.3.220,PAY,Nginx,A,Nginx,8C32G,hfa,WEB,x86,26%,41%,2%,0%,2020-12-06
2,bja-pay-Redis-kzx-0001,10.2.4.89,PAY,Redis,A,Redis,4C16G,bja,SCYW,ARM,71%,73%,77%,36%,2020-05-12
0,bja-pay-Redis-kzx-0002,10.2.4.195,PAY,Redis,A,Redis,4C16G,bja,SCYW,ARM,86%,15%,26%,20%,2020-12-20
-3,bja-pay-Redis-kzx-0003,10.2.4.100,PAY,Redis,A,Redis,4C16G,bja,SCYW,ARM,69%,38%,43%,2%,2020-02-18
3,bja-pay-Redis-kzx-0004,10.2.4.225,PAY,Redis,A,Redis,4C16G,bja,SCYW,ARM,73%,15%,37%,14%,2020-05-10
-2,bja-pay-Redis-kzx-0005,10.2.4.213,PAY,Redis,A,Redis,4C16G,bja,SCYW,ARM,20%,31%,39%,0%,2020-10-24
-2,bja-pay-Redis-kzx-0006,10.2.4.64,PAY,Redis,A,Redis,4C16G,bja,SCYW,ARM,88%,87%,64%,7%,2020-12-07
1,bjb-pay-Redis-kzx-0001,10.2.5.21,PAY,Redis,A,Redis,4C16G,bjb,SCYW,ARM,13%,23%,0%,0%,2020-05-14
-1,bjb-pay-Redis-kzx-0002,10.2.5.102,PAY,Redis,A,Redis,4C16G,bjb,SCYW,ARM,64%,29%,76%,52%,2020-05-23
3,bjb-pay-Redis-kzx-0003,10.2.5.138,PAY,Redis,A,Redis,4C16G,bjb,SCYW,ARM,93%,43%,46%,33%,2020-02-23
0,bjb-pay-Redis-kzx-0004,10.2.5.214,PAY,Redis,A,Redis,4C16G,bjb,SCYW,ARM,53%,14%,16%,3%,2020-10-06
2,bjb-pay-Redis-kzx-0005,10.2.5.61,PAY,Redis,A,Redis,4C16G,bjb,SCYW,ARM,30%,15%,20%,6%,2020-07-04
1,bjb-pay-Redis-kzx-0006,10.2.5.223,PAY,Redis,A,Redis,4C16G,bjb,SCYW,ARM,34%,16%,57%,28%,2020-08-05
1,hfa-pay-Redis-kzx-0001,10.2.3.137,PAY,Redis,A,Redis,4C8G,hfa,SCYW,x86,54%,20%,18%,7%,2020-12-12
1,hfa-pay-Redis-kzx-0002,10.2.3.140,PAY,Redis,A,Redis,4C8G,hfa,SCYW,x86,82%,15%,4%,2%,2020-07-01
3,hfa-pay-Redis-kzx-0003,10.2.3.90,PAY,Redis,A,Redis,4C8G,hfa,SCYW,x86,13%,31%,0%,0%,2020-01-10
-3,hfa-pay-Redis-kzx-0004,10.2.3.199,PAY,Redis,A,Redis,4C8G,hfa,SCYW,x86,17%,32%,0%,0%,2020-10-17
-2,hfa-pay-Redis-kzx-0005,10.2.3.122,PAY,Redis,A,Redis,4C8G,hfa,SCYW,x86,52%,21%,29%,13%,2020-03-06
-2,hfa-pay-Redis-kzx-0006,10.2.3.15,PAY,Redis,A,Redis,4C8G,hfa,SCYW,x86,71%,16%,40%,5%,2020-05-21
-2,bja-pay-app-kzx-0001,10.6.4.32,PAY,app,A,app,32C64G,bja,WEB,ARM,86%,86%,66%,54%,2020-06-17
1,bja-pay-app-kzx-0002,10.6.4.147,PAY,app,A,app,32C64G,bja,WEB,ARM,85%,71%,45%,27%,2020-07-25
2,bjb-pay-app-kzx-0001,10.6.5.235,PAY,app,A,app,32C64G,bjb,WEB,x86,13%,27%,0%,0%,2020-08-25
-3,bjb-pay-app-kzx-0002,10.6.5.169,PAY,app,A,app,32C64G,bjb,WEB,x86,19%,69%,0%,0%,2020-05-22
0,hfa-pay-app-kzx-0001,10.6.3.49,PAY,app,A,app,16C64G,hfa,WEB,C86,17%,23%,0%,0%,2020-05-12
0,hfa-pay-app-kzx-0002,10.6.3.240,PAY,app,A,app,16C64G,hfa,WEB,C86,30%,98%,38%,25%,2020-09-20
0,bja-pay-web-kzx-0001,10.6.4.43,PAY,web,A,web,16C64G,bja,WEB,C86,33%,100%,74%,59%,2020-02-15
3,bja-pay-web-kzx-0002,10.6.4.115,PAY,web,A,web,16C64G,bja,WEB,C86,38%,12%,21%,3%,2020-10-04
3,bjb-pay-web-kzx-0001,10.6.5.2,PAY,web,A,web,16C64G,bjb,WEB,C86,40%,59%,22%,10%,2020-05-25
-3,bjb-pay-web-kzx-0002,10.6.5.24,PAY,web,A,web,16C64G,bjb,WEB,C86,22%,63%,49%,0%,2020-08-27
-3,hfa-pay-web-kzx-0001,10.6.3.146,PAY,web,A,web,8C32G,hfa,WEB,ARM,30%,42%,26%,2%,2020-06-20
-3,hfa-pay-web-kzx-0002,10.6.3.20,PAY,web,A,web,8C32G,hfa,WEB,ARM,15%,91%,0%,0%,2020-08-03
1,hfa-shop-MGR-kzx-0001,10.2.3.191,SHOP,MGR,A,MGR,2C8G,hfa,SCYW,x86,33%,13%,8%,4%,2020-12-05
3,hfa-shop-MGR-kzx-0002,10.2.3.217,SHOP,MGR,A,MGR,2C8G,hfa,SCYW,x86,26%,56%,15%,0%,2020-11-03
0,sza-shop-MGR-kzx-0001,10.2.1.205,SHOP,MGR,A,MGR,2C8G,sza,SCYW,ARM,86%,78%,54%,46%,2020-07-12
-1,sza-shop-MGR-kzx-0002,10.2.1.74,SHOP,MGR,A,MGR,2C8G,sza,SCYW,ARM,81%,67%,33%,30%,2020-12-05
-2,szb-shop-MGR-kzx-0001,10.2.2.72,SHOP,MGR,A,MGR,2C8G,szb,SCYW,x86,11%,24%,0%,0%,2020-12-27
